antenna_array_size,transmission_power,beamwidth,channel_gain,interference_level,user_density,carrier_frequency,mobility_speed,spectral_efficiency
128,25.593218456680532,12.84267792450498,-113.97675053106018,0.0455851579486688,812,83,90.28148430383472,7.756642606060671
64,38.4535992088647,37.61743838027313,-72.12596967275802,0.345806098410425,178,39,111.1998664664244,3.853224695503551
128,24.396268609117264,40.80354069330248,-133.95331089167465,0.8899133763628625,738,60,49.6957817494918,8.267362982476559
128,23.5731854839808,38.10348742999771,-87.00527906391456,0.8084057388936909,997,83,63.36816971184947,7.144386670767278
8,31.167255175470654,34.28313752513694,-90.29660407603119,0.6415044812562517,177,39,75.74256936720855,0.6943808844148809
16,30.498861298195155,20.402053125276918,-71.29885765204223,0.5855637287933019,825,73,53.244173643560146,1.0469284623775066
128,10.148199428032289,11.387642811028908,-94.92837194298879,0.23692399389672347,284,28,1.509337498343446,6.329607261960816
16,12.900293489401589,32.15977222513108,-76.59241494326922,0.6457250433510536,176,39,80.67921719923694,1.0353782211622662
64,16.319865670169996,28.211884307020146,-118.2443168465241,0.6043593197147711,307,60,51.71296038219923,4.84773667055238
16,15.463537470660977,50.16590554026246,-75.75983424337304,0.022066148682290843,565,73,63.65090643926912,0.8535419666092351
32,13.755573766076512,50.610773962421554,-130.62368754558133,0.5059316543195584,972,28,67.07438883244524,3.1869038753562555
128,36.76254066820703,49.38310199861965,-112.48338507538516,0.2347544217249713,829,39,1.820903885570604,8.345081214807403
16,31.527932969745287,44.267394787862436,-124.28646273023861,0.7293098004772062,872,60,58.275688083855066,2.1200560648875157
128,36.82572623992355,12.360559964983123,-87.06661922966488,0.2691615709916292,972,83,101.03802336698716,7.02822683787337
128,23.569548535549004,59.60492614494887,-122.58660803355711,0.9709402496046186,688,28,25.47330183426173,7.276077455438134
32,24.57615277558977,49.244046422372776,-126.60071287247138,0.8101610899597025,153,83,79.98309981424605,2.79055602937411
128,10.812879775104506,21.36516482253513,-92.70957573931868,0.5570405132750351,106,73,24.56633447399987,6.955732094613143
32,22.280020189451292,21.49555113288416,-122.21109562014638,0.1899361364575609,898,39,25.13012049862251,2.9979753197750867
128,34.866500976478285,24.02326034058216,-60.30738612009769,0.842165376650381,891,73,62.04075398516504,6.455076341967561
128,32.09332706874169,47.605944214965,-61.8153673606797,0.969723632797977,578,83,113.4368448301964,5.4585248514357785
64,24.226426499723914,19.308678502912812,-110.08631623897492,0.8243504472493495,922,28,37.97454918401492,4.655442321922734
8,28.776741293110273,11.312287952806962,-107.7119198110727,0.6193899693665019,897,39,46.364176456416835,1.1827258866970043
32,37.46464892764126,6.200286822651923,-134.5317439752033,0.2972872042813265,670,73,1.6216370767419086,4.651478276931741
64,30.414979062241393,20.483665912821145,-139.84062918247437,0.4981299435480424,702,28,34.41202530694604,5.240673355786924
16,26.992139208906917,23.398120880806268,-64.23274663131848,0.5883522209831533,139,73,110.11208355142803,1.388418034260603
32,24.41759731979944,15.307656925367022,-98.28407806664958,0.6650559890066311,149,60,46.469525784416994,2.954804958636877
64,22.406473045760546,45.582823520884155,-121.3995206233735,0.5551337867531885,418,39,92.4274518779848,4.329758494367725
32,29.30733085589575,12.23190159438899,-87.06525692801148,0.17715352322262556,29,28,62.41618173416219,2.628253529887276
32,34.89225411121605,43.92245141075037,-82.84606687430062,0.39310390755940106,135,39,0.4751931614571303,2.0250106813786797
64,19.562575087962095,33.78650012559015,-130.93571962180286,0.46768121248487704,385,73,117.47034673438797,3.956321226165537
32,32.94649784626385,54.11996128574782,-135.0084745121378,0.9414742375060654,35,39,22.55111494485545,3.8835906592157814
128,25.57179372724811,33.11210265804764,-125.37297761049463,0.8969952893644111,940,73,90.70636554813797,7.595217572296281
64,16.950151041503304,25.92310041291593,-119.7518768656313,0.04499682123542437,55,60,113.73234984385779,4.228925027340409
16,36.85353222119609,18.308742167437494,-131.6436385519879,0.3768668803471885,455,60,26.574106964789404,3.9246794380505325
