antenna_array_size,transmission_power,beamwidth,channel_gain,interference_level,user_density,carrier_frequency,mobility_speed,spectral_efficiency
110,32.09332706874169,26.83582726804554,-62.42210937616184,0.5355424730977982,808,48.41083501047464,101,5.913280857063747
59,38.03101044307044,9.790102173767432,-105.50129041667537,0.47698339261765377,602,67.60559099965278,95,4.165193458247156
100,37.767055387203285,38.93865838647907,-112.19849637489963,0.3892086186234388,504,65.17958693659871,44,4.051998210934006
22,23.525181142123962,11.261111641213077,-135.97203784245175,0.8874245353703603,466,66.81126336306706,113,1.0299117399403213
114,13.397141375222658,23.987272854093064,-135.7787793712318,0.8939335106699905,531,54.90764451125371,98,1.5906518274263197
79,39.54523596887004,32.90765662947949,-84.63909952426762,0.3358163646415345,529,49.06155602603894,64,4.0277055148739755
68,35.166942593378025,53.08223885768467,-103.36568044527777,0.615069754014698,926,40.21452035149444,46,2.8730400961921463
28,13.739880436098005,32.14506191870653,-121.87826991711154,0.9269075621458641,726,73.35444940404912,57,0.9635588320184771
110,37.625256478521166,43.624232131741536,-90.88237549398139,0.9620584989413515,324,61.45925255924233,108,2.968623552445511
90,36.09689086186385,59.60492614494887,-119.7713505399911,0.5089590404220475,955,52.43937078536223,4,3.120348318312409
94,25.56514171378216,12.23190159438899,-93.7894596524462,0.4528248052843268,718,79.91977486908362,76,4.2192737251901935
82,27.738263072347877,20.110233903573572,-111.26330024138477,0.2786943159285258,719,30.631134687887133,117,3.1074321997728793
82,21.970081116103906,26.701684157870552,-74.11582187105448,0.95887187319041,551,74.75945698627763,4,4.143193082076039
95,11.64284916466094,28.200549819635725,-74.34430713865765,0.14281430447286736,488,82.86704261202848,59,4.563298947356776
124,20.05591724937703,27.606159139605015,-101.81196815020789,0.579829576047725,922,76.7818160985577,95,4.138630478213963
107,34.085603457940344,54.918605140610524,-111.93447125319875,0.2825502675186389,980,72.57401220885939,114,4.435321094118258
111,10.138960690138086,44.27179544567711,-110.99521627527244,0.2790082903477966,29,48.586829637347854,20,1.8624067201704577
31,20.004975150734325,38.43478677498871,-75.54283794654256,0.40496858737618846,569,40.72228002442614,23,3.1162280242541582
10,21.9450608077283,22.015499482453016,-113.74564137619103,0.9987929358156545,978,68.41677862747807,17,2.3303025388090584
29,26.121868088137685,50.308471132171206,-123.27525010345232,0.054966306839822066,139,44.751645145871265,20,2.4030766776700556
60,37.59566849238281,57.52832813167439,-133.22493264997544,0.5785418182035315,302,37.68218251852339,53,0.13591407796516441
9,20.390379830978837,50.16590554026246,-102.66455032924733,0.08257215803527718,906,71.25892379069752,9,3.2113436872517065
95,20.40859605688683,5.08608078553101,-101.42943208641265,0.15452082999051897,141,45.189900873019724,23,3.311051727580807
115,32.125037443292456,40.00207536008739,-72.72730316776743,0.4395629417728987,365,78.2942951218036,103,4.592965522148215
37,23.566538226694213,7.81244597931554,-122.30090428431488,0.5104601313464413,63,74.23479546505189,110,2.0434618839014065
45,16.73814468819946,19.168397118354704,-109.52069810652802,0.258792408364524,899,74.62021812300904,84,4.482297719624416
9,23.5731854839808,8.273858519127444,-75.32754088850473,0.3164571308744162,802,70.43633493307044,88,4.391178188745363
71,14.225710611393996,38.20874991221633,-74.11011114008213,0.08696702025593306,396,76.44847830761051,115,3.4724736384701975
67,15.2916095951867,42.76244524209337,-109.23111392169855,0.3032197838442505,274,72.31607906979661,59,2.205034302505691
28,24.951033182184393,11.296820093624781,-103.27007813706552,0.9665584393805441,991,61.138124996610074,56,3.001496034855582
40,22.56776348513644,26.111138567473873,-115.73712873205736,0.9447073816724817,224,44.27024952200247,22,0.5055743276289884
83,37.445377032043,30.09300799255481,-65.39560972645504,0.334878290136985,469,76.85150562677819,21,5.389612787887697
65,20.871816973498994,25.297916196850412,-130.5084987406736,0.5708539362787616,467,74.23319925252555,67,2.330114796625746
29,27.417650508341303,11.656375026685618,-65.3000461598824,0.9095953911109443,811,54.00836272157998,33,4.179982457548024
115,28.96792863758591,28.042128460311147,-85.29068385317254,0.0061838226408966745,52,30.149327730107537,119,3.6867685847766736
96,10.392833697650008,46.314792629463,-97.4742277850615,0.8106835703375919,595,63.11990500710524,69,1.1548840368702915
56,29.906121160501318,8.90542154932905,-137.38727513724032,0.948369552788919,871,30.782826952211995,27,2.4570556249697457
98,15.341079006092542,9.40990077450469,-101.95230465423933,0.09132573433355706,287,78.9453979016624,94,3.2550288773464793
66,38.832109524083656,24.512421050979132,-107.38015159978141,0.16144768603292103,847,80.88971911439188,98,4.223116291540102
49,14.459881832593389,56.79491413904088,-127.1024950419902,0.9607463027713554,763,38.42195802447823,38,1.071727335469319
99,22.43872371181071,41.771495569760276,-87.48723171994745,0.5375401436403463,139,65.20141579302005,41,3.6934160497037447
67,12.560490042359316,42.32684761699107,-62.30792741053713,0.014196634471723701,359,33.07479525095195,22,4.194682191104407
87,39.90622755537842,24.905599496082573,-95.02489511483799,0.25763199876352916,715,68.12343107152171,69,5.623113349711272
22,25.065850309937275,37.651343516469616,-82.81973788448434,0.4499436742688596,553,47.10082163839711,79,3.2990047309220256
69,27.861550519601312,5.557215121525886,-134.52396379471867,0.6929089110247677,115,65.4577561451745,1,2.299654229445691
